type,temp,hum,depth_prev,depth,label
FLOOD,28.69,85.18,18.18,32.96,Extreme
FLOOD,29.57,42.79,0.42,0.76,Normal
FLOOD,26.37,99.99,24.87,39.25,Extreme
FLOOD,19.83,82.86,5.75,12.28,Severe
FLOOD,18.01,84.28,9.23,11.18,Severe
FLOOD,24.26,89.33,32.39,47.53,Extreme
FLOOD,29.18,56.32,1.63,2.04,Normal
FLOOD,18.16,81.37,3.43,11.61,Severe
FLOOD,19.74,73.93,1.95,7.82,Moderate
FLOOD,24.4,77.92,0.79,4.8,Moderate
FLOOD,26.98,77.61,2.95,7.74,Moderate
FLOOD,29.7,91.35,11.59,24.33,Extreme
FLOOD,25.89,93.17,35.89,42.06,Extreme
FLOOD,20.25,90.35,5.65,8.33,Severe
FLOOD,27.53,74.34,2.2,3.45,Moderate
FLOOD,26.62,73.76,2.96,5.14,Moderate
FLOOD,27.69,63.75,2.59,2.51,Normal
FLOOD,20.17,71.54,2.24,6.27,Moderate
FLOOD,22.39,84.14,5.57,9.72,Severe
FLOOD,23.81,93.49,10.6,12.23,Severe
FLOOD,31.6,51.23,2.28,2.29,Normal
FLOOD,16.2,71.85,1.53,7.64,Moderate
FLOOD,31.11,51.67,0.56,0.68,Normal
FLOOD,25.01,64.39,2.18,2.17,Normal
FLOOD,26.98,97.65,26.17,45.14,Extreme
FLOOD,20.89,90.49,5.52,9.23,Severe
FLOOD,26.32,88.05,25.15,45.43,Extreme
FLOOD,21.7,90.81,5.45,14.46,Severe
FLOOD,20.09,85.41,11.81,24.41,Extreme
FLOOD,31.13,50.61,0.44,0.79,Normal
FLOOD,25.33,99.82,23.72,39.71,Extreme
FLOOD,26.94,85.17,6.76,12.2,Severe
FLOOD,27.08,97.71,5.28,37.96,Extreme
FLOOD,30.9,47.8,0.42,0.5,Normal
FLOOD,20.85,81.69,4.29,10.78,Severe
FLOOD,23.77,92.2,5.95,13.16,Severe
FLOOD,18.3,85.38,6.28,14.64,Severe
FLOOD,20.81,78.83,1.52,3.5,Moderate
FLOOD,28.35,98.05,5.18,23.99,Extreme
FLOOD,27.95,43.45,0.71,0.61,Normal
FLOOD,31.36,62.1,0.77,1.07,Normal
FLOOD,30.84,68.3,1.69,1.63,Normal
FLOOD,28.31,57.54,1.66,1.92,Normal
FLOOD,28.2,88.53,17.62,24.39,Extreme
FLOOD,27.4,93.86,7.49,9.16,Severe
FLOOD,22.8,92.81,11.13,13.86,Severe
FLOOD,21.09,79.78,2.13,4.68,Moderate
FLOOD,18.91,87.91,8.43,10.41,Severe
FLOOD,25.35,72.08,4.08,5.62,Moderate
FLOOD,30.55,56.33,0.79,0.89,Normal
