date,division,rain_sum
2014-07-01,Ududumbara,1.3
2014-07-02,Ududumbara,0.0
2014-07-03,Ududumbara,0.2
2014-07-04,Ududumbara,0.4
2014-07-05,Ududumbara,3.6
2014-07-06,Ududumbara,2.0
2014-07-07,Ududumbara,0.0
2014-07-08,Ududumbara,1.2
2014-07-09,Ududumbara,0.5
2014-07-10,Ududumbara,3.8
2014-07-11,Ududumbara,0.0
2014-07-12,Ududumbara,3.1
2014-07-13,Ududumbara,6.9
2014-07-14,Ududumbara,3.1
2014-07-15,Ududumbara,0.1
2014-07-16,Ududumbara,0.0
2014-07-17,Ududumbara,0.0
2014-07-18,Ududumbara,0.9
2014-07-19,Ududumbara,0.4
2014-07-20,Ududumbara,2.0
2014-07-21,Ududumbara,0.0
2014-07-22,Ududumbara,1.0
2014-07-23,Ududumbara,0.3
2014-07-24,Ududumbara,0.0
2014-07-25,Ududumbara,0.0
2014-07-26,Ududumbara,1.4
2014-07-27,Ududumbara,4.6
2014-07-28,Ududumbara,2.4
2014-07-29,Ududumbara,0.7
2014-07-30,Ududumbara,0.0
2014-07-31,Ududumbara,0.3
2014-08-01,Ududumbara,1.0
2014-08-02,Ududumbara,0.8
2014-08-03,Ududumbara,2.1
2014-08-04,Ududumbara,1.6
2014-08-05,Ududumbara,5.1
2014-08-06,Ududumbara,1.4
2014-08-07,Ududumbara,0.2
2014-08-08,Ududumbara,5.0
2014-08-09,Ududumbara,1.1
2014-08-10,Ududumbara,0.4
2014-08-11,Ududumbara,4.0
2014-08-12,Ududumbara,0.5
2014-08-13,Ududumbara,1.6
2014-08-14,Ududumbara,4.5
2014-08-15,Ududumbara,6.1
2014-08-16,Ududumbara,3.3
2014-08-17,Ududumbara,8.0
2014-08-18,Ududumbara,8.1
2014-08-19,Ududumbara,4.0
2014-08-20,Ududumbara,2.0
2014-08-21,Ududumbara,8.9
2014-08-22,Ududumbara,6.9
2014-08-23,Ududumbara,4.4
2014-08-24,Ududumbara,2.1
2014-08-25,Ududumbara,4.2
2014-08-26,Ududumbara,0.0
2014-08-27,Ududumbara,0.0
2014-08-28,Ududumbara,0.0
2014-08-29,Ududumbara,0.0
2014-08-30,Ududumbara,0.0
2014-08-31,Ududumbara,1.4
2014-09-01,Ududumbara,1.6
2014-09-02,Ududumbara,3.8
2014-09-03,Ududumbara,3.6
2014-09-04,Ududumbara,8.3
2014-09-05,Ududumbara,1.1
2014-09-06,Ududumbara,3.1
2014-09-07,Ududumbara,2.8
2014-09-08,Ududumbara,0.9
2014-09-09,Ududumbara,3.0
2014-09-10,Ududumbara,5.4
2014-09-11,Ududumbara,0.3
2014-09-12,Ududumbara,0.3
2014-09-13,Ududumbara,0.9
2014-09-14,Ududumbara,1.7
2014-09-15,Ududumbara,1.7
2014-09-16,Ududumbara,0.8
2014-09-17,Ududumbara,0.0
2014-09-18,Ududumbara,0.6
2014-09-19,Ududumbara,0.5
2014-09-20,Ududumbara,0.0
2014-09-21,Ududumbara,1.3
2014-09-22,Ududumbara,0.7
2014-09-23,Ududumbara,1.5
2014-09-24,Ududumbara,0.6
2014-09-25,Ududumbara,22.1
2014-09-26,Ududumbara,19.1
